FIPS_Code,County,State,Total,Male,Female,Under18,a18to64,over65,oneRace,White,AfricanAmerican,Native,Asian,Hawaiian,otherRace,Multiracial,FamilyHousehold,OtherLivingArrangements,totPoverty25,NoHS,HighSchool,SomeCollege,Bachelors,AmericanBorn,ForeignBorn,NaturalizedCitizen,Disability,NoDisability,totPoverty16to64,FullTime,PartTime,NoWork,Year
36059,Nassau County, New York,1319454,639026,680428,307418,813531,198505,1285447,951060,142544,1578,105023,50,85192,34007,1186881,132573,908309,94130,224144,211687,378348,1035918,283536,165034,115019,1204229,853249,442883,213082,197284,2010
36061,New York County, New York,1550475,726145,824330,231425,1108267,210783,1485738,892783,240334,4697,172274,469,175181,64737,972617,577858,1160957,163889,150209,167452,679407,1102899,447576,206378,147518,1402079,1134718,583402,285485,265831,2010
36081,Queens County, New York,2213118,1072842,1140276,454515,1480156,278447,2140828,929229,405349,8212,517698,2009,278331,72290,1891452,321666,1541547,300237,422944,362010,456356,1151304,1061814,562909,206550,2006019,1534958,747448,361923,425587,2010
36103,Suffolk County, New York,1471909,724044,747865,352873,923167,195869,1442947,1195114,108517,3479,46651,124,89062,28962,1308500,163409,998417,98526,304794,270271,324826,1260950,210959,103591,126839,1344559,968773,492753,251634,224386,2010
36119,Westchester County, New York,926374,445236,481138,225162,568356,132856,894344,618124,126462,1096,50560,0,98102,32030,797599,128775,633754,75639,140105,133114,284896,689327,237047,109598,77225,849080,595234,301759,160414,133061,2010
37119,Mecklenburg County, North Carolina,908026,439570,468456,230011,597021,80994,886682,528024,278640,4255,42261,152,33350,21344,728220,179806,597273,72349,120011,169267,235646,786213,121813,35863,77017,830219,619397,308934,174197,136266,2010
37183,Wake County, North Carolina,884085,431404,452681,232636,576087,75362,863681,610214,178912,2659,47927,112,23857,20404,726285,157800,577894,41135,96961,168034,271764,765863,118222,39825,67394,815953,600339,314284,161041,125014,2010
39035,Cuyahoga County, Ohio,1250764,594470,656294,283654,777741,189369,1221666,805970,369373,3202,31692,49,11380,29098,990974,259790,862950,105260,249352,254647,253691,1158648,92116,54519,178388,1072214,813177,374098,233535,205544,2010
39049,Franklin County, Ohio,1144399,556776,587623,275650,755631,113118,1111843,799868,246638,1990,45450,304,17593,32556,881461,262938,743148,77035,199387,206621,260105,1033433,110966,40789,133610,1010326,784864,387762,227693,169409,2010
39061,Hamilton County, Ohio,781880,372908,408972,184871,493609,103400,764075,541508,198993,1952,15439,0,6183,17805,625520,156360,518209,54182,142798,147148,174081,739498,42382,18159,93645,687934,513851,239175,153093,121583,2010
39113,Montgomery County, Ohio,522244,250310,271934,120778,322341,79125,508522,385229,108448,769,9343,0,4733,13722,417039,105205,356242,42325,109185,121830,82902,503222,19022,8282,80989,439745,336838,149305,97782,89751,2010
